DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2019,47,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2020,52.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2009,64.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2010,66.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2011,70.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2012,74,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2013,70.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2014,68.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2015,67.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2016,67,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2017,65.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2018,63.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2019,62.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IE,2020,62.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2010,33.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2011,44,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2012,40.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2013,42.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2014,42.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2015,47.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2016,47.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2017,44.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2018,51.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2019,46.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IS,2020,57,
